R000237/S002950/P025075	بر اساس یک گزارش پزشکی تعداد بیماران ایدز در هند هر چهارده ماه دو برابر می‌شود	B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N E | AH E Y D Z | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | D O | B A R AA B A R | M I SH A V A D	SIL | B A R | AH A S AA S E | Y E K | G O Z AA R E SH E | P E Z E SH K I | T E AH D AA D E | B I M AA R AA N | AH E Y D Z | SIL | D A R | H E N D | H A R | CH AA H AA R D A H | M AA H | SIL | D O | B A R AA B A R | SIL | M I SH A V A D
R000303/S003982/P034164	شماره‌گذاری گره‌ها را موافق جهت عقربه‌های ساعت انجام می‌دهند	SH O M AA R E G O Z AA R I Y E | G E R E H AA | R AA | M O V AA F E Q E | J A H A T E | AH A Q R A B E H AA Y E | S AA AH A T | AH A N J AA M | M I D A H A N D	SIL | SH O M AA R E G O Z AA R I Y E | G E R E H AA | R AA | M O V AA F E Q E | SIL | J A H A T E | AH A Q R A B E H AA Y E | S AA AH A T | SIL | AH A N J AA M | M I D A H A N D | SIL
R000303/S003982/P034165	مردی جلوی من نشسته بود که من فکر می‌کردم هر آن ممکن است که به برانکار نیاز پیدا کند	M A R D I | J E L O Y E | M A N | N E SH A S T E | B U D | K E | M A N | F E K R | M I K A R D A M | H A R | AH AA N | M O M K E N | AH A S T | K E | B E | B E R AA N K AA R | N I Y AA Z | P E Y D AA | K O N A D	SIL | M A R D I | J E L O Y E | M A N | N E SH A S T E | B U D | K E H | M A N | F E K R | M I K A R D A M | H A R | AH AA N | M O M K E N | AH A S T | K E H | B E | B E R AA N K AA R | N I Y AA Z | P E Y D AA | K O N A D | SIL
R000303/S003982/P034166	این فرمانداران شهرداران و نمایندگان خود او بودند که او باید می‌توانست از آنها بخواهد به عنوان افرادش عمل کنند	AH I N | F A R M AA N D AA R AA N | SH A H R D AA R AA N | V A | N A M AA Y A N D E G AA N E | KH O D E | AH U | B U D A N D | K E | AH U | B AA Y A D | M I T A V AA N E S T | AH A Z | AH AA N H AA | B E KH AA H A D | B E | AH O N V AA N E | AH A F R AA D A SH | AH A M A L | K O N A N D	SIL | AH I N | F A R M AA N D AA R AA N | SH A H R D AA R AA N | V A | N A M AA Y A N D E G AA N E | KH O D E | AH U | B U D A N D | K E | AH U | B AA Y A D | M I T A V AA N E S T | AH A Z | AH AA N H AA | B E KH AA H A D | B E | AH O N V AA N E | AH A F R AA D A SH | AH A M A L | K O N A N D | SIL
R000303/S003982/P034167	اقبال رهبر حزب اصلی در مجلس به نخست‌وزیری رسید و علم نیز رهبری گروه مخالف را به عهده گرفت	AH E Q B AA L | R A H B A R E | H E Z B E | AH A S L I | D A R | M A J L E S | B E | N O KH O S T V A Z I R I | R E S I D | V A | AH A L A M | N I Z | R A H B A R I Y E | G O R U H E | M O KH AA L E F | R AA | B E | AH O H D E | G E R E F T	AH E Q B AA L | R A H B A R E | H E Z B | AH A S L I | D A R | M A J L E S | B E | N O KH O S T V A Z I R I | R E S I D | V A | AH A L A M | N I Z | R A H B A R I Y E | G O R U H E | M O KH AA L E F | R AA | B E | AH O H D E | G E R E F T | SIL
R000303/S003982/P034168	بیشتر انواع حافظه‌های نوری به دیسک‌ها اجازه می‌دهند تا دو درایو شوند و با دیسک‌های دیگر جایگزین شوند	B I SH T A R E | AH A N V AA AH E | H AA F E Z E H AA Y E | N U R I | B E | D I S K H AA | AH E J AA Z E | M I D A H A N D | T AA | D O | D E R AA Y V | SH A V A N D | V A | B AA | D I S K H AA Y E | D I G A R | J AA Y G O Z I N | SH A V A N D	SIL | B I SH T A R E | AH A N V AA AH E | H AA F E Z E H AA Y E | N U R I | B E | D I S K H AA | AH E J AA Z E | M I D A H A N D | T AA | D O | D E R AA Y V | SH A V A N D | V E | B AA | D I S K H AA Y E | D I G A R | J AA Y G O Z I N | SH A V A N D | SIL
R000303/S003982/P034169	در رقابت‌های دیروز تیم‌های نیروی زمینی تهران و الکتریک خراسان حریفان خود را شکست دادند و یک دیدار به تساوی انجامید	D A R | R E Q AA B A T H AA Y E | D I R U Z | T I M H AA Y E | N I R U Y E | Z A M I N I Y E | T E H R AA N | V A | AH E L E K T E R I K E | KH O R AA S AA N | H A R I F AA N E | KH O D | R AA | SH E K A S T | D AA D A N D | V A | Y E K | D I D AA R | B E | T A S AA V I | AH A N J AA M I D	SIL | D A R | R E Q AA B A T H AA Y E | D I R U Z | T I M H AA Y E | N I R U Y E | Z A M I N I Y E | T E H R AA N | V A | AH E L E K T E R I K E | KH O R AA S AA N | H A R I F AA N E | KH O D | R AA | SH E K A S T | D AA D A N D | V A | Y E K | D I D AA R | B E | T A S AA V I | AH A N J AA M I D | SIL
R000303/S003982/P034170	در حال حاضر پنجاه و دو میلیون تن در آمریکا به این بیماری مبتلا هستند ولی پزشکان به ماهیت این بیماری کاملاً پی نبرده‌اند	D A R | H AA L E | H AA Z E R | P A N J AA H | V A | D O | M I L Y U N | T A N | D A R | AH AA M R I K AA | B E | AH I N | B I M AA R I | M O B T A L AA | H A S T A N D | V A L I | P E Z E SH K AA N | B E | M AA H I Y Y A T E | AH I N | B I M AA R I | K AA M E L A N | P E Y | N A B O R D E AH A N D	SIL | D A R | H AA L E | H AA Z E R | P A N J AA H | AH O | D O | M I L Y U N | T A N | D A R | AH AA M R I K AA | B E | AH I N | B I M AA R I | M O B T A L AA | H A S T A N D | V A L I | P E Z E SH K AA N | B E | M AA H I Y Y A T | AH I N | B I M AA R I | K AA M E L A N | P E Y | N A B O R D E AH A N D | SIL
R000303/S003983/P034171	چراکه مورد بدرفتاری کارفرمایان سیا قرار گرفته بود	CH E R AA K E | M O R E D E | B A D R A F T AA R I Y E | K AA R F A R M AA Y AA N E | S I Y AA | Q A R AA R | G E R E F T E | B U D	SIL | CH E R AA K E | M O R E D E | B A D R A F T AA R I Y E | K AA R F A R M AA Y AA N E | S I Y AA | Q A R AA R | G E R E F T E | B U D | SIL
R000303/S003983/P034172	چنین بوده و به تأیید الهی چنین نیز خواهد بود	CH E N I N | B U D E | V A | B E | T A AH Y I D E | AH E L AA H I | CH E N I N | N I Z | KH AA H A D | B U D	SIL | CH E N I N | B U D E | V AA V | B E | T A AH Y I D | AH E L AA H I | CH E N I N | N I Z | KH AA H A D | B U D | SIL
R000303/S003983/P034173	سازمان بازنشستگی ما را هم تحت پوشش بیمه عمر قرار دهد	S AA Z M AA N E | B AA Z N E SH A S T E G I | M AA | R AA | H A M | T A H T E | P U SH E SH E | B I M E Y E | AH O M R | Q A R AA R | D A H A D	SIL | S AA Z M AA N E | B AA Z N E SH A S T E G I | M AA | R AA | H A M | T A H T E | P U SH E SH E | B I M E | AH O M R | Q A R AA R | D A H A D | SIL
R000303/S003983/P034174	در پاسخگوییهایی که مردم از طریق تماس تلفنی موضوع یا مسئله‌ای را مطرح می‌کنند	D A R | P AA S O KH G U Y I H AA Y I | K E | M A R D O M | AH A Z | T A R I Q E | T A M AA S E | T E L E F O N I | M O Z U AH | Y AA | M A S AH A L E AH I | R AA | M A T R A H | M I K O N A N D	SIL | D A R | P AA S O KH G U Y I H AA Y I | K E H | M A R D O M | AH A Z | T A R I Q E | T A M AA S E | T E L E F O N I | M O Z U AH | SIL | Y AA | M A S AH A L E AH I | R AA | M A T R A H | M I K O N A N D | SIL
R000303/S003983/P034175	تبدیل هوش‌بهر مقیاس کلی به رتبه درصدی یا طبقه‌بندی هوش اغلب مفید واقع می‌شود	T A B D I L E | H U SH B A H R | M E Q Y AA S E | K O L L I | B E | R O T B E Y E | D A R S A D I | Y AA | T A B A Q E B A N D I Y E | H U SH | AH A Q L A B | M O F I D | V AA Q E AH | M I SH A V A D	SIL | T A B D I L E | H U SH B A H R | SIL | M E Q Y AA S E | K O L L I | B E | R O T B E | D A R S A D I | Y AA | T A B A Q E B A N D I Y E | H U SH | AH A Q L A B | M O F I D | V AA Q E AH | M I SH A V A D | SIL
R000303/S003983/P034176	پروردگارا این بندگان صالح را همواره مشمول رحمت و فضل خود قرار ده و شهیدان عالی‌قدر ما را با اولیایت محشور فرما	P A R V A R D E G AA R AA | AH I N | B A N D E G AA N E | S AA L E H | R AA | H A M V AA R E | M A SH M U L E | R A H M A T | V A | F A Z L E | KH O D | Q A R AA R | D A H | V A | SH A H I D AA N E | AH AA L I Q A D R E | M AA | R AA | B AA | AH O L I Y AA Y A T | M A H SH U R | F E R M AA	SIL | P A R V A R D E G AA R AA | AH I N | B A N D E G AA N E | S AA L E H | R AA | H A M V AA R E | M A SH M U L E | R A H M A T | V A | F A Z L E | KH O D | Q A R AA R | D E H | V A | SH A H I D AA N | AH AA L I Q A D R E | M AA | R AA | B AA | AH O L I Y AA Y A T | M A H SH U R | F A R M AA | SIL
R000303/S003983/P034177	سهروردی پایه‌گذاران این فلسفه را کسانی چون ادریس نبی حکمای خسروانی و فهلویون می‌داند	S O H R E V A R D I | P AA Y E G O Z AA R AA N E | AH I N | F A L S A F E | R AA | K A S AA N I | CH O N | AH E D R I S E | N A B I | H O K A M AA Y E | KH O S R O V AA N I | V A | F A H L A V I Y U N | M I D AA N A D	SIL | S O H R E V A R D I | P AA Y E G O Z AA R AA N | AH I N | F A L S A F E | R AA | K A S AA N I | CH O N | AH E D R I S E | N A B I | H O K A M AA Y E | KH O S R O V AA N I | V A | F A H L A V I Y U N | M I D AA N A D | SIL
R000303/S003983/P034178	چنین فردی هیچ گاه از کار خسته نشده بلکه دائماً ذهن و روح او نیز در کنار جسم او خلاق و فعال خواهند بود و این که گفته‌اند عقل سالم در بدن سالم است درواقع همین معنا است	CH E N I N | F A R D I | H I CH | G AA H | AH A Z | K AA R | KH A S T E | N A SH O D E | B A L K E | D AA AH E M A N | Z E H N | V A | R U H E | AH U | N I Z | D A R | K E N AA R E | J E S M E | AH U | KH A L L AA Q | V A | F A AH AH AA L | KH AA H A N D | B U D | V A | AH I N | K E | G O F T E AH A N D | AH A Q L E | S AA L E M | D A R | B A D A N E | S AA L E M | AH A S T | D A R V AA Q E AH | H A M I N | M A AH N AA | AH A S T	SIL | CH E N I N | F A R D I | H I CH | G AA H | AH A Z | K AA R | KH A S T E | N A SH O D E | B A L K E | SIL | D AA AH E M A N | Z E H N | AH O | R U H | AH U | N I Z | D A R | K E N AA R E | J E S M E | AH U | KH A L L AA Q | V SIL | F A AH AH AA L | KH AA H A N D | B U D | V A | AH I N | K E | G O F T E AH A N D | AH A Q L E | S AA L E M | D A R | B A D A N E | S AA L E M | AH A S T | D A R V AA Q E AH | SIL | H A M I N | M A AH N AA | AH A S T | SIL
R000303/S003984/P034179	کرباسیان بار دیگر نایب‌رئیس کنفدراسیون بدمینتون آسیا شد	K A R B AA S I Y AA N | B AA R E | D I G A R | N AA Y E B R A AH I S E | K O N F E D R AA S I Y O N E | B A D M I N T O N E | AH AA S I Y AA | SH O D	SIL | K A R B AA S I Y AA N | B AA R E | D I G A R | N AA Y E B R A AH I S E | K O N F E D R AA S I Y O N E | B A D M I N T O N E | SIL | AH AA S I Y AA | SH O D | SIL
R000303/S003984/P034180	آن هم اصرار امام بزرگواری که یک انسان حکیم دوراندیش و کسی بود که روی حساب سخن می‌گفت تصمیم می‌گرفت و حرکت می‌کرد	AH AA N | H A M | AH E S R AA R E | AH E M AA M E | B O Z O R G V AA R I | K E | Y E K | AH E N S AA N E | H A K I M | D U R AH A N D I SH | V A | K A S I | B U D | K E | R U Y E | H E S AA B | S O KH A N | M I G O F T | T A S M I M | M I G E R E F T | V A | H A R E K A T | M I K A R D	AH AA N | H A M M | AH E S R AA R E | AH E M AA M E | B O Z O R G V AA R I | K E | Y E K | AH E N S AA N E | H A K I M | D U R AH A N D I SH | V A | K A S I | B U D | K E | R U Y E | H E S AA B | S O KH A N | M I G O F T | SIL | T A S M I M | M I G E R E F T | SIL | V A | H A R E K A T | M I K A R D | SIL
R000303/S003984/P034181	مقام‌های ژاپنی هنوز در زمینه سلامتی سرنشینان این کشتی ماهیگیری خبری را منتشر نکرده‌اند	M A Q AA M H AA Y E | ZH AA P O N I | H A N U Z | D A R | Z A M I N E Y E | S A L AA M A T I Y E | S A R N E SH I N AA N E | AH I N | K E SH T I Y E | M AA H I G I R I | KH A B A R I | R AA | M O N T A SH E R | N A K A R D E AH A N D	SIL | M A Q AA M H AA Y E | ZH AA P O N I | H A N U Z | D A R | Z A M I N E Y E | S A L AA M A T I | S A R N E SH I N AA N | AH I N | K E SH T I Y E | M AA H I G I R I | KH A B A R I | R AA | M O N T A SH E R | N A K A R D E AH A N D | SIL
R000303/S003984/P034182	این مجموعه یک پنج هکتار زمین چمن دارد که اعضای تیم ملی فوتبال کشورمان در آن به تمرین خواهند پرداخت	AH I N | M A J M U AH E | Y E K | P A N J | H E K T AA R | Z A M I N E | CH A M A N | D AA R A D | K E | AH A AH Z AA Y E | T I M E | M E L L I Y E | F U T B AA L E | K E SH V A R E M AA N | D A R | AH AA N | B E | T A M R I N | KH AA H A N D | P A R D AA KH T	SIL | AH I N | M A J M U AH E | Y E K | P A N J E | H E K T AA R | Z A M I N E | CH A M A N | D AA R A D | K E | AH A AH Z AA Y E | T I M E | M E L L I | F U T B AA L E | K E SH V A R E M AA N | D A R | AH AA N | B E | T A M R I N | KH AA H A N D | P A R D AA KH T | SIL
R000303/S003984/P034183	بیست و سه سال تئاتر کار کردم اما خیلی دوست دارم که تئاتر کار کنم	B I S T | V A | S E | S AA L | T E AH AA T R | K AA R | K A R D A M | AH A M M AA | KH E Y L I | D U S T | D AA R A M | K E | T E AH AA T R | K AA R | K O N A M	B I S T | V E | S E | S AA L | T E AH AA T R | SIL | K AA R | K A R D A M | AH A M M AA | KH E Y L I | D U S T | D AA R A M | K E | T E AH AA T R | K AA R | K O N A M | SIL
R000303/S003984/P034184	مرکز تازه‌های کتاب در کرمانشاه گشایش یافت	M A R K A Z | T AA Z E H AA Y E | K E T AA B | D A R | K E R M AA N SH AA H | G O SH AA Y E SH | Y AA F T	M A R K A Z E | T AA Z E H AA Y E | K E T AA B | D A R | K E R M AA N SH AA H | SIL | G O SH AA Y E SH | Y AA F T | SIL
R000303/S003984/P034185	تاریخ برگزاری آزمون یک هزار و سیصد و هفتاد و نه سه دوازده صبح و بعدازظهر در محل دانشکده مهندسی عمران خواهد بود	T AA R I KH E | B A R G O Z AA R I Y E | AH AA Z M U N | Y E K | H E Z AA R | V A | S I S A D | V A | H A F T AA D | V A | N O H | S E | D A V AA Z D A H | S O B H | V A | B A AH D A Z Z O H R | D A R | M A H A L L E | D AA N E SH K A D E Y E | M O H A N D E S I Y E | AH O M R AA N | KH AA H A D | B U D	T AA R I KH E | B A R G O Z AA R I | AH AA Z M U N | Y E K | H E Z AA R | V E | S I S A D | V E | SIL | H A F T AA D | V E | SIL | N O H E | S E Y E | D A V AA Z D A H | S O B H | V AA V | B A AH D A Z Z O H R | SIL | D A R | M A H A L L E | D AA N E SH K A D E Y E | M O H A N D E S I | AH O M R AA N | KH AA H A D | B U D | SIL
R000303/S003984/P034186	به نظر می‌رسد این که آن بوته گل سرخ حاصل پیوند زدن گل سرخ نیشابور بر پایه رز انگلیسی باشد درست نیست	B E | N A Z A R | M I R E S A D | AH I N | K E | AH AA N | B U T E Y E | G O L E | S O R KH | H AA S E L E | P E Y V A N D | Z A D A N E | G E L E | S O R KH E | N E Y SH AA B U R | B A R | P AA Y E Y E | R O Z E | AH E N G E L I S I | B AA SH A D | D O R O S T | N I S T	SIL | B E | N A Z A R | M I R E S A D | AH I N | K E | AH AA N | B U T E Y E | G O L E | S O R KH | H AA S E L E | P E Y V A N D | Z A D A N E | G O L E | S O R KH E | N E Y SH AA B U R | SIL | B A R | P AA Y E | R O Z E | AH E N G E L I S I | B AA SH A D | D O R O S T | N I S T | SIL
R000420/S005251/P045531	لازم به یادآوری است که چین همواره تایوان را یکی از استان‌های خود تلقی کرده و با طرح دو دولت تایوان نیز مخالفت ورزیده است	L AA Z E M | B E | Y AA D AH AA V A R I | AH A S T | K E | CH I N | H A M V AA R E | T AA Y V AA N | R AA | Y E K I | AH A Z | AH O S T AA N H AA Y E | KH O D | T A L A Q Q I | K A R D E | V A | B AA | T A R H E | D O | D O L A T E | T AA Y V AA N | N I Z | M O KH AA L E F A T | V A R Z I D E | AH A S T	SIL | L AA Z E M | SIL | B E | Y AA D AH AA V A R I | AH A S T | K E | CH I N | H A M V AA R E | SIL | T AA Y V AA N | R AA | Y E K I | AH A Z | AH O S T AA N H AA Y E | KH U D | SIL | T A L A Q Q I | K A R D E | SIL | V AA V | B AA | T A R H E | D O | D O L A T E | T AA Y V AA N | SIL | N I Z | M O KH AA L E F A T | V A R Z I D E | AH A S T | SIL
R000420/S005251/P045534	این آثار متعلق به دوره پیش از عیلام تا دوره اسلامی است	AH I N | AH AA S AA R | M O T E AH A L L E Q | B E | D O R E Y E | P I SH | AH A Z | AH I L AA M | T AA | D O R E Y E | AH E S L AA M I | AH A S T	SIL | AH I N | AH AA S AA R | M O T E AH A L L E Q | B E | D O R E Y E | P I SH | AH A Z | AH I L AA M | T AA | D O R E Y E | AH E S L AA M I | AH A S T | SIL
R000420/S005251/P045535	خلاصه به اتفاق امپراطور برخاستیم رفتیم	KH O L AA S E | B E | AH E T T E F AA Q E | AH E M P E R AA T U R | B A R KH AA S T I M | R A F T I M	SIL | KH O L AA S E | B E | AH E T T E F AA Q E | AH E M P E R AA T U R | B A R KH AA S T I M | R A F T I M | SIL
R000420/S005251/P045536	درحالی‌که عملاً چنین نشده است و در بخش توضیحات علاوه‌بر توضیح عبارت و ترکیب‌های دشوار معنی برخی از کلمات نیز آمده است	D A R H AA L I K E | AH A M A L A N | CH E N I N | N A SH O D E | AH A S T | V A | D A R | B A KH SH E | T O Z I H AA T | AH A L AA V E B A R | T O Z I H E | AH E B AA R A T | V A | T A R K I B H AA Y E | D O SH V AA R | M A AH N I | B A R KH I | AH A Z | K A L E M AA T | N I Z | AH AA M A D E | AH A S T	SIL | D A R H AA L I K E | SIL | AH A M A L A N | SIL | CH E N I N | N A SH O D E | AH A S T | SIL | V A | D A R | B A KH SH E | T O Z I H AA T | SIL | AH A L AA V E B A R | T O Z I H E | AH E B AA R A T | V E | SIL | T A R K I B H AA Y E | D O SH V AA R | SIL | M A AH N I Y E | B A R KH I | AH A Z | K A L A M AA T | SIL | N I Z | AH AA M A D E | AH A S T | SIL
R000420/S005251/P045537	اشخاص و پدیده‌ها را ببینیم نه آن‌چنان‌که واقعیت نشان می‌دهد	AH A SH KH AA S | V A | P A D I D E H AA | R AA | B E B I N I M | N A | AH AA N CH E N AA N K E | V AA Q E AH I Y Y A T | N E SH AA N | M I D A H A D	SIL | AH A SH KH AA S | V E | SIL | P A D I D E H AA | R AA | B E B I N I M | SIL | N A | SIL | AH AA N CH E N AA N K E | V AA Q E AH I Y Y A T | N E SH AA N | M I D A H A D | SIL
R000420/S005251/P045538	یک دانشمند جوان نیز که با لباس مخصوص در این اطاق مورد آزمایش قرار گرفته بود سالم بیرون آمد	Y E K | D AA N E SH M A N D E | J A V AA N | N I Z | K E | B AA | L E B AA S E | M A KH S U S | D A R | AH I N | AH O T AA Q | M O R E D E | AH AA Z M AA Y E SH | Q A R AA R | G E R E F T E | B U D | S AA L E M | B I R U N | AH AA M A D	SIL | Y E K | D AA N E SH M A N D E | SIL | J A V AA N | N I Z | SIL | K E H | B AA | L E B AA S E | M A KH S U S | D A R | AH I N | AH O T AA Q | SIL | M O R E D E | AH AA Z M AA Y E SH | Q A R AA R | SIL | G E R E F T E | B U D | SIL | S AA L E M | B I R U N | AH AA M A D | SIL
R000420/S005251/P045540	اوایل اقبال و من به‌خوبی با هم راه آمدیم و او اغلب مرا برای مأموریت به خارج می‌فرستاد	AH A V AA Y E L E | AH E Q B AA L | V A | M A N | B E KH U B I | B AA | H A M | R AA H | AH AA M A D I M | V A | AH U | AH A Q L A B | M A R AA | B A R AA Y E | M A AH M U R I Y Y A T | B E | KH AA R E J | M I F E R E S T AA D	SIL | AH A V AA Y E L E | SIL | AH E Q B AA L | AH O | M A N | B E KH U B I | B AA | H A M M | R AA H | SIL | AH AA M A D I M | SIL | V A | AH U | AH A Q L A B | M A R AA | B A R AA Y E | M A AH M U R I Y Y A T | B E | KH AA R E J | M I F E R E S T AA D | SIL
R000420/S005251/P045541	ما به همراه آقای سرابی رئیس رایزنی فرهنگی و همراه ایشان آقای عسگری با مدیرکل دانشگاه شارجه ملاقات کردیم	M AA | B E | H A M R AA H E | AH AA Q AA Y E | S A R AA B I | R A AH I S E | R AA Y Z A N I Y E | F A R H A N G I | V A | H A M R AA H E | AH I SH AA N | AH AA Q AA Y E | AH A S G A R I | B AA | M O D I R K O L L E | D AA N E SH G AA H E | SH AA R J E | M O L AA Q AA T | K A R D I M	SIL | M AA | B E | H A M R AA H E | SIL | AH AA Q AA Y E | S A R AA B I | SIL | R A AH I S E | SIL | R AA Y Z A N I Y E | SIL | F A R H A N G I | V E | SIL | H A M R AA H E | AH I SH AA N | SIL | AH AA Q AA Y E | SIL | AH A S G A R I | SIL | B AA | M O D I R K O L L E | D AA N E SH G AA H E | SH AA R J E | M O L AA Q AA T | SIL | K A R D I M | SIL
R000420/S005251/P045544	اولین مرکز خدمات مشاوره‌ای استان قم وابسته به مرکز ملی جوانان افتتاح شد	AH A V V A L I N | M A R K A Z E | KH A D A M AA T E | M O SH AA V E R E AH I Y E | AH O S T AA N E | Q O M | V AA B A S T E | B E | M A R K A Z E | M E L L I Y E | J A V AA N AA N | AH E F T E T AA H | SH O D	SIL | AH A V V A L I N | M A R K A Z E | KH A D A M AA T E | M O SH AA V E R E AH I Y E | AH O S T AA N | SIL | Q O M | V AA B A S T E | B E | M A R K A Z E | M E L L I Y E | J A V AA N AA N | SIL | AH E F T E T AA H | SH O D | SIL
R000420/S005251/P045545	به طور نمونه بین کشورهای اروپایی سرمایه‌گذاری راحت‌تر صورت می‌گیرد	B E | T O R E | N E M U N E | B E Y N E | K E SH V A R H AA Y E | AH O R U P AA Y I | S A R M AA Y E G O Z AA R I | R AA H A T T A R | S U R A T | M I G I R A D	SIL | B E | T U R E | N E M U N E | SIL | B E Y N E | K E SH V A R H AA Y E | AH O R U P AA Y I | SIL | S A R M AA Y E G O Z AA R I Y E | R AA H A T T A R | S U R A T | M I G I R A D | SIL
R000420/S005252/P045547	ما سال پنجاه و هشت بود که ازدواج کردیم	M AA | S AA L E | P A N J AA H | V A | H A SH T | B U D | K E | AH E Z D E V AA J | K A R D I M	SIL | M AA | S AA L E | P A N J AA H | V A | H A SH T | B U D | K E | AH E Z D E V AA J | K A R D I M
R000420/S005252/P045548	در این مجالس شرکت‌کنندگان پیوند خود را با آرمان‌های مقدس بنیان‌گذار جمهوری اسلامی ایران و حضرت آیت‌الله خامنه‌ای رهبر انقلاب اعلام کردند	D A R | AH I N | M A J AA L E S | SH E R K A T K O N A N D E G AA N | P E Y V A N D E | KH O D | R AA | B AA | AH AA R M AA N H AA Y E | M O Q A D D A S E | B O N Y AA N G O Z AA R E | J O M H U R I Y E | AH E S L AA M I Y E | AH I R AA N | V A | H A Z R A T E | AH AA Y A T O L L AA H | KH AA M E N E AH I | R A H B A R E | AH E N Q E L AA B | AH E AH L AA M | K A R D A N D	SIL | D A R | AH I N | M A J AA L E S | SH E R K A T K O N A N D E G AA N | P E Y V A N D E | KH O D | R AA | B AA | AH AA R M AA N H AA Y E | SIL | M O Q A D D A S E | B O N Y AA N G O Z AA R E | J O M H U R I | AH E S L AA M I | AH I R AA N | SIL | V A | H A Z R A T | AH AA Y A T O L L AA H | KH AA M E N E AH I | R A H B A R E | AH E N Q E L AA B | AH E AH L AA M | K A R D A N D
R000420/S005252/P045550	تاکنون تیم‌های ملی ژاپن کویت چین عراق اندونزی ازبکستان لبنان میزبان و عربستان سعودی قهرمان دوره پیش به مرحله نهایی جام ملت‌های آسیا راه یافته‌اند	T AA K O N U N | T I M H AA Y E | M E L L I Y E | ZH AA P O N | K O V E Y T | CH I N | AH A R AA Q | AH A N D O N E Z I | AH O Z B A K E S T AA N | L O B N AA N | M I Z B AA N | V A | AH A R A B E S T AA N E | S O AH U D I | Q A H R E M AA N E | D O R E Y E | P I SH | B E | M A R H A L E Y E | N A H AA Y I Y E | J AA M E | M E L L A T H AA Y E | AH AA S I Y AA | R AA H | Y AA F T E AH A N D	SIL | T AA K O N U N | T I M H AA Y E | M E L L I Y E | ZH AA P O N | SIL | K O V E Y T | CH I N | SIL | AH A R AA Q | SIL | AH A N D O N E Z I Y E | SIL | AH O Z B A K E S T AA N | L O B N AA N | SIL | M I Z B AA N | V A | AH A R A B E S T AA N E | S O AH U D I | SIL | Q A H R E M AA N E | D O R E Y E | P I SH | B E | M A R H A L E Y E | N A H AA Y I Y E | J AA M E | M E L L A T H AA Y E | AH AA S I Y AA | R AA H | Y AA F T E AH A N D
R000420/S005252/P045551	وی یک مرد خروشان و جوشان و عصیانی است ولی امام حسن در یک گفتگوی پنهانی که با او در مدینه دارد او را قانع می‌کند و حتی به سرنوشت مبارزه امیدوار	V E Y | Y E K | M A R D E | KH O R U SH AA N | V A | J U SH AA N | V A | AH O S Y AA N I | AH A S T | V A L I | AH E M AA M | H A S A N | D A R | Y E K | G O F T E G U Y E | P E N H AA N I | K E | B AA | AH U | D A R | M A D I N E | D AA R A D | AH U | R AA | Q AA N E AH | M I K O N A D | V A | H A T T AA | B E | S A R N E V E SH T E | M O B AA R E Z E | AH O M I D V AA R	SIL | V E Y | Y E K | M A R D E | KH O R U SH AA N | V A | J U SH AA N | SIL | V AA V | SIL | AH O S Y AA N I | AH A S T | V A L I | AH E M AA M | H A S A N | D A R | Y E K | G O F T O G U Y E | P E N H AA N I | SIL | K E H | B AA | AH U | SIL | D A R | M A D I N E | D AA R A D | SIL | AH U | R AA | Q AA N E AH | M I K O N A D | SIL | V A | H A T T AA | B E | S A R N E V E SH T E | M O B AA R E Z E | SIL | AH O M I D V AA R | SIL
R000420/S005252/P045552	فیلم‌نامه کوتاه وسوسه نسرین صالحی احمد زیر پتو خوابیده است	F I L M N AA M E Y E | K U T AA H E | V A S V A S E | N A S R I N E | S AA L E H I | AH A H M A D | Z I R E | P A T U | KH AA B I D E | AH A S T	SIL | F I L M N AA M E Y E | K U T AA H E | SIL | V A S V A S E Y E | SIL | N A S R I N E | S AA L E H I | SIL | AH A H M A D | Z I R E | P A T U | KH AA B I D E | AH A S T
R000420/S005252/P045553	در این نمایشگاه دو هزار عنوان کتاب با تخفیف ویژه در اختیار علاقمندان قرار گرفت	D A R | AH I N | N A M AA Y E SH G AA H | D O | H E Z AA R | AH O N V AA N | K E T AA B | B AA | T A KH F I F E | V I ZH E | D A R | AH E KH T I Y AA R | AH A L AA Q E M A N D AA N | Q A R AA R | G E R E F T	SIL | D A R | SIL | AH I N | N A M AA Y E SH G AA H | SIL | D O | H E Z AA R | AH O N V AA N | K E T AA B | B AA | T A KH F I F E | V I ZH E | D A R | AH E KH T I Y AA R E | SIL | AH A L AA Q E M A N D AA N | SIL | Q A R AA R | SIL | G E R E F T
